CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
14388.340779554, 272.137207031, 253.205047607, 324.526672363, 253.080261230, 344.044769287, 252.219238281, 397.321380615, 253.102935791, -45.677089691, 12.156292915, 593.016418457, 19.394304276, 12.536087990, 591.998901367, 4852
14388.357474045, 272.179931641, 252.928222656, 324.802368164, 252.826202393, 344.149261475, 252.278488159, 397.065856934, 253.005584717, -45.687107086, 12.158535957, 593.138122559, 19.422338486, 12.522614479, 592.177246094, 4853
14388.374168536, 271.969543457, 252.969726562, 324.299499512, 253.120269775, 344.080688477, 252.451293945, 396.932861328, 253.011169434, -45.690128326, 12.151041985, 592.823791504, 19.351650238, 12.497920990, 591.659729004, 4854
14388.390863026, 272.035522461, 253.300537109, 324.436889648, 253.116729736, 344.070434570, 252.405151367, 396.946228027, 253.070419312, -45.681537628, 12.125332832, 592.718994141, 19.356124878, 12.468112946, 591.798095703, 4855
14388.407463994, 272.380004883, 253.016723633, 324.546813965, 253.207077026, 344.059143066, 252.723144531, 397.107910156, 253.378341675, -45.674552917, 12.140338898, 593.240051270, 19.389755249, 12.490575790, 591.958679199, 4856
14388.424151520, 272.263519287, 253.307098389, 324.697143555, 253.441009521, 343.838470459, 252.496673584, 397.132904053, 253.212097168, -45.705112457, 12.166295052, 593.584350586, 19.391908646, 12.515376091, 591.804992676, 4857
14388.440839046, 272.084777832, 253.255340576, 324.155303955, 253.117233276, 344.410522461, 252.465667725, 397.205566406, 253.253646851, -45.697322845, 12.138529778, 593.078979492, 19.300998688, 12.513566017, 591.049072266, 4858
14388.457526572, 272.430114746, 253.266891479, 324.648315430, 253.172271729, 344.149749756, 252.592987061, 396.840087891, 253.134628296, -45.651191711, 12.156432152, 593.176330566, 19.294202805, 12.517702103, 591.284362793, 4859
14388.474214098, 272.320861816, 253.288787842, 324.627655029, 253.263427734, 344.354431152, 252.367431641, 397.247772217, 253.073944092, -45.597923279, 12.141429901, 592.717834473, 19.331029892, 12.509116173, 591.208496094, 4860
14388.490901624, 272.585632324, 253.169479370, 324.591522217, 253.479888916, 344.281982422, 252.539596558, 397.225067139, 252.932907104, -45.549915314, 12.150244713, 592.968200684, 19.346323013, 12.512552261, 591.115905762, 4861
14388.507589150, 272.592468262, 252.922286987, 325.054077148, 253.064941406, 344.549377441, 252.358032227, 397.318725586, 253.103698730, -45.487754822, 12.133186340, 592.654968262, 19.421533585, 12.514948845, 591.313964844, 4862
14388.524276676, 272.601745605, 252.883880615, 324.877166748, 253.174667358, 344.446655273, 252.405395508, 397.759033203, 253.178451538, -45.450603485, 12.119144440, 592.676147461, 19.431724548, 12.502858162, 590.724731445, 4863
14388.540964202, 272.601013184, 252.950561523, 324.950134277, 252.846847534, 344.554382324, 252.334594727, 397.717132568, 253.329330444, -45.390972137, 12.109244347, 592.603881836, 19.481494904, 12.501159668, 590.723083496, 4864
14388.557651728, 272.684936523, 252.787231445, 325.294219971, 253.158843994, 344.649505615, 252.405639648, 397.604492188, 253.180938721, -45.326858521, 12.107795715, 592.639526367, 19.547256470, 12.525805473, 590.726135254, 4865
14388.574339254, 272.340759277, 252.998229980, 324.818115234, 252.890502930, 344.807006836, 252.324462891, 397.645629883, 252.838363647, -45.265979767, 12.091510773, 592.241760254, 19.584526062, 12.496829987, 590.477661133, 4866
14388.591026781, 272.700988770, 252.943847656, 325.203582764, 252.766784668, 344.710632324, 252.214035034, 397.469573975, 252.916351318, -45.200508118, 12.060073853, 592.280517578, 19.671249390, 12.472034454, 590.712707520, 4867
