CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14388.4242, 69.1510, 44.3532, 568.5275, 0.0239, -0.0347, 0.0092, 69.1510, 44.3532, 568.5275, 0.0239, -0.0347, 0.0092, 4857
14388.4408, 69.6977, 44.3868, 569.8661, 0.0344, -0.0303, 0.0072, 69.6977, 44.3868, 569.8661, 0.0344, -0.0303, 0.0072, 4858
14388.4575, 69.5555, 44.4918, 571.6943, 0.0370, -0.0310, 0.0058, 69.5555, 44.4918, 571.6943, 0.0370, -0.0310, 0.0058, 4859
14388.4742, 69.5871, 44.4067, 570.1590, 0.0416, -0.0402, 0.0112, 69.5871, 44.4067, 570.1590, 0.0416, -0.0402, 0.0112, 4860
14388.4909, 69.4257, 44.3426, 570.2736, 0.0364, -0.0312, 0.0106, 69.4257, 44.3426, 570.2736, 0.0364, -0.0312, 0.0106, 4861
14388.5076, 70.0510, 44.4440, 570.7485, 0.0188, -0.0364, 0.0064, 70.0510, 44.4440, 570.7485, 0.0188, -0.0364, 0.0064, 4862
14388.5243, 69.8435, 44.2666, 569.4628, 0.0319, -0.0258, 0.0110, 69.8435, 44.2666, 569.4628, 0.0319, -0.0258, 0.0110, 4863
14388.5410, 70.1429, 44.2992, 569.3578, 0.0209, -0.0348, 0.0120, 70.1429, 44.2992, 569.3578, 0.0209, -0.0348, 0.0120, 4864
14388.5577, 70.1551, 44.4696, 570.4930, 0.0177, -0.0312, 0.0095, 70.1551, 44.4696, 570.4930, 0.0177, -0.0312, 0.0095, 4865
14388.5743, 69.9799, 44.1669, 570.2020, 0.0459, -0.0314, 0.0112, 69.9799, 44.1669, 570.2020, 0.0459, -0.0314, 0.0112, 4866
14388.5910, 69.9148, 44.1567, 569.2501, 0.0366, -0.0395, 0.0083, 69.9148, 44.1567, 569.2501, 0.0366, -0.0395, 0.0083, 4867
14388.6077, 70.2683, 44.4749, 570.3434, 0.0222, -0.0351, 0.0092, 70.2683, 44.4749, 570.3434, 0.0222, -0.0351, 0.0092, 4868
14388.6244, 70.2136, 44.4850, 570.6157, 0.0299, -0.0396, 0.0138, 70.2136, 44.4850, 570.6157, 0.0299, -0.0396, 0.0138, 4869
14388.6411, 70.0339, 44.4115, 569.0407, 0.0428, -0.0377, 0.0075, 70.0339, 44.4115, 569.0407, 0.0428, -0.0377, 0.0075, 4870
14388.6578, 70.3602, 44.4967, 571.3520, 0.0279, -0.0375, 0.0105, 70.3602, 44.4967, 571.3520, 0.0279, -0.0375, 0.0105, 4871
14388.6745, 70.1601, 44.5149, 571.0673, 0.0350, -0.0271, 0.0117, 70.1601, 44.5149, 571.0673, 0.0350, -0.0271, 0.0117, 4872
14388.6912, 70.3945, 44.5971, 571.4106, 0.0289, -0.0280, 0.0129, 70.3945, 44.5971, 571.4106, 0.0289, -0.0280, 0.0129, 4873
14388.7078, 70.2724, 44.1892, 569.4470, 0.0324, -0.0241, 0.0111, 70.2724, 44.1892, 569.4470, 0.0324, -0.0241, 0.0111, 4874
14388.7245, 70.4696, 44.2149, 570.4252, 0.0522, -0.0351, 0.0052, 70.4696, 44.2149, 570.4252, 0.0522, -0.0351, 0.0052, 4875
14388.7412, 70.5187, 44.5951, 572.0743, 0.0294, -0.0375, 0.0123, 70.5187, 44.5951, 572.0743, 0.0294, -0.0375, 0.0123, 4876
14388.7579, 70.4938, 44.3336, 570.6427, 0.0199, -0.0228, 0.0099, 70.4938, 44.3336, 570.6427, 0.0199, -0.0228, 0.0099, 4877
14388.7746, 70.6622, 44.6422, 571.0779, 0.0341, -0.0320, 0.0112, 70.6622, 44.6422, 571.0779, 0.0341, -0.0320, 0.0112, 4878
14388.7912, 70.5754, 44.5555, 571.0759, 0.0171, -0.0402, 0.0101, 70.5754, 44.5555, 571.0759, 0.0171, -0.0402, 0.0101, 4879
14388.8079, 70.4855, 44.5489, 571.3956, 0.0252, -0.0366, 0.0086, 70.4855, 44.5489, 571.3956, 0.0252, -0.0366, 0.0086, 4880
14388.8246, 70.4669, 44.2341, 570.4136, 0.0337, -0.0318, 0.0103, 70.4669, 44.2341, 570.4136, 0.0337, -0.0318, 0.0103, 4881
14388.8413, 70.2101, 44.2606, 569.8449, 0.0348, -0.0230, 0.0100, 70.2101, 44.2606, 569.8449, 0.0348, -0.0230, 0.0100, 4882
14388.8580, 70.5840, 44.3899, 572.0616, 0.0297, -0.0303, 0.0126, 70.5840, 44.3899, 572.0616, 0.0297, -0.0303, 0.0126, 4883
14388.8746, 70.2745, 44.1500, 570.3312, 0.0377, -0.0318, 0.0079, 70.2745, 44.1500, 570.3312, 0.0377, -0.0318, 0.0079, 4884
14388.8913, 70.3564, 44.3387, 572.0979, 0.0328, -0.0252, 0.0107, 70.3564, 44.3387, 572.0979, 0.0328, -0.0252, 0.0107, 4885
14388.9080, 70.8754, 44.3477, 572.0139, 0.0221, -0.0385, 0.0046, 70.8754, 44.3477, 572.0139, 0.0221, -0.0385, 0.0046, 4886
14388.9247, 70.7316, 44.3799, 572.0198, 0.0298, -0.0403, 0.0091, 70.7316, 44.3799, 572.0198, 0.0298, -0.0403, 0.0091, 4887
14388.9414, 70.3710, 44.2578, 569.7739, 0.0207, -0.0302, 0.0125, 70.3710, 44.2578, 569.7739, 0.0207, -0.0302, 0.0125, 4888
14388.9580, 70.0806, 44.2207, 568.7283, 0.0318, -0.0447, 0.0101, 70.0806, 44.2207, 568.7283, 0.0318, -0.0447, 0.0101, 4889
14388.9747, 70.3643, 44.4779, 569.8484, 0.0288, -0.0325, 0.0118, 70.3643, 44.4779, 569.8484, 0.0288, -0.0325, 0.0118, 4890
14388.9914, 70.1798, 43.9550, 567.7229, 0.0392, -0.0368, 0.0069, 70.1798, 43.9550, 567.7229, 0.0392, -0.0368, 0.0069, 4891
14389.0081, 70.1655, 44.2167, 568.5319, 0.0238, -0.0265, 0.0052, 70.1655, 44.2167, 568.5319, 0.0238, -0.0265, 0.0052, 4892
14389.0248, 69.8469, 44.1478, 568.7035, 0.0370, -0.0327, 0.0120, 69.8469, 44.1478, 568.7035, 0.0370, -0.0327, 0.0120, 4893
